q_idx,seed,correct_answer,in_beam_top100,beam_rank,detected_rel,n_filtered,correct_in_filtered,final_rank
0,Billy Budd,German,True,6,in_language,3,True,1
1,Desperate Hours,Franklin J. Schaffner,False,0,directed_by,14,False,0
2,Sheitan,Drama,True,1,has_genre,9,True,1
3,The Devil at 4 O'Clock,Henry Hathaway,False,0,directed_by,9,False,0
4,Identity Thief,Michael Markowitz,True,6,written_by,17,True,2
5,Princess Caraboo,English,True,20,in_language,1,True,1
6,Body of Lies,1953,True,3,release_year,14,True,1
7,Camp Nowhere,Jacquelyn Mitchard,False,0,written_by,2,False,0
8,You Ain't Seen Nothin' Yet,Peter Glenville,True,4,directed_by,5,True,1
9,Equinox,Mystery,True,1,has_genre,6,True,1
10,Forever Mine,Paul Schrader,True,3,written_by,21,True,1
11,The Great Santini,English,False,0,in_language,0,False,0
12,Sherlock Holmes Faces Death,Mystery,True,8,has_genre,11,True,1
13,The Texas Chain Saw Massacre,Tobe Hooper,True,6,directed_by,27,True,1
14,Endangered Species,Mystery,True,1,has_genre,6,True,1
15,Dancing Lady,John Meehan,False,0,written_by,8,False,0
16,The Balloonatic,Short,True,1,has_genre,5,True,1
17,Duplicity,1992,True,2,release_year,3,True,1
18,Cloudy with a Chance of Meatballs,2014,True,14,release_year,10,True,5
19,The Artist,Russian,True,3,in_language,4,True,1
20,Providence,1953,True,36,release_year,6,True,2
21,White Men Can't Jump,William Friedkin,True,14,directed_by,19,True,2
22,Invasion of the Body Snatchers,1993,True,17,release_year,8,True,4
23,Night Moves,1988,True,3,release_year,11,True,1
24,Ride Along,1998,True,4,release_year,3,True,1
25,Falling Down,Drama,True,1,has_genre,8,True,1
26,Caesar Must Die,Claudio Bigagli,True,5,starred_actors,3,True,1
27,King of New York,John Badham,True,4,directed_by,24,True,1
28,Finding Nemo,Ron Peer,True,39,written_by,28,True,0
29,Fahrenhype 9/11,Avery Corman,True,27,starred_actors,16,False,0
30,Gentlemen Broncos,Drama,True,1,has_genre,9,True,1
31,Across the Pacific,James Agee,True,7,written_by,17,True,1
32,Blackball,2003,True,4,release_year,5,True,1
33,A Midsummer Night's Sex Comedy,Mickey Rose,True,5,starred_actors,46,True,2
34,Bronson,Danish,True,7,in_language,3,True,1
35,The Clock,French,True,46,in_language,2,True,1
36,Meet the Parents,1999,True,5,release_year,24,True,1
37,The Hundred-Foot Journey,David Cronenberg,True,13,directed_by,10,True,2
38,Little Odessa,James Gray,True,5,written_by,6,True,2
39,Barocco,Gilles Perrault,True,7,written_by,5,True,1
40,Deep Red,Drama,True,2,has_genre,4,True,1
41,Along Came Polly,Paul Rudd,True,12,starred_actors,56,True,5
42,The Long Goodbye,Mystery,True,4,has_genre,5,True,1
43,Birthday Girl,Mystery,True,1,has_genre,12,True,1
44,Cape Fear,Swedish,True,47,in_language,2,True,1
45,The Last Circus,Armando De Razza,True,8,starred_actors,7,True,1
46,The Pirate,Charles Walters,True,7,directed_by,31,True,1
47,Casablanca,1960,True,6,release_year,17,True,1
48,Raid on Rommel,French,True,2,in_language,8,True,1
49,"Count Yorga, Vampire",Horror,True,3,has_genre,5,True,1
50,The Shining,Japanese,False,0,in_language,0,False,0
51,2001 Maniacs,Stephen King,False,0,written_by,7,False,0
52,American Heart,English,True,14,in_language,3,True,2
53,Bowfinger,English,True,72,in_language,2,True,2
54,Coriolanus,2013,False,0,release_year,2,False,0
55,Caramel,Nadine Labaki,True,8,written_by,38,True,1
56,Tonight and Every Night,George Sidney,False,0,directed_by,2,False,0
57,Hulk,Mandarin,False,0,in_language,0,False,0
58,Novocaine,Mystery,True,1,has_genre,8,True,1
59,Tea with Mussolini,Russian,True,2,in_language,5,True,1
60,Can't Hardly Wait,Comedy,True,1,has_genre,6,True,1
61,Down to the Sea in Ships,Jean Peters,True,2,starred_actors,52,True,1
62,Brother Orchid,Welsh,True,44,in_language,1,True,1
63,Fired Up!,Drama,True,1,has_genre,9,True,1
64,Libertarias,Manuel Gómez Pereira,False,0,directed_by,24,False,0
65,The Vanishing American,George Waggner,False,0,directed_by,4,False,0
66,Jumpin' Jack Flash,English,True,5,in_language,2,True,1
67,The Peacemaker,Mystery,True,1,has_genre,9,True,1
68,Quality Street,Mystery,True,1,has_genre,8,True,1
69,The Brothers Grimm,Mystery,True,3,has_genre,8,True,3
70,Cold Sweat,1986,True,3,release_year,6,True,1
71,Seven Pounds,Atom Egoyan,True,4,directed_by,21,True,1
72,The Golden Compass,Robert Iscove,True,10,directed_by,13,True,1
73,A Bright Shining Lie,Dan Gilroy,False,0,written_by,8,False,0
74,Nick of Time,David Marshall Grant,False,0,starred_actors,61,False,0
75,Armageddon,1995,True,15,release_year,18,True,5
76,Bettie Page Reveals All,Drama,False,0,has_genre,4,False,0
77,The Man Who Never Was,Brian Garfield,False,0,written_by,5,False,0
78,The Girl in the Red Velvet Swing,1953,True,6,release_year,2,True,1
79,Midnight Express,German,True,19,in_language,3,True,1
80,Ginger Snaps,Ingmar Bergman,True,19,starred_actors,4,False,0
81,Blue Car,Karen Moncrieff,True,3,directed_by,1,True,1
82,Law Abiding Citizen,1986,True,4,release_year,5,True,1
83,Yellow Submarine,Comedy,True,1,has_genre,11,True,1
84,Only Angels Have Wings,William Faulkner,True,7,written_by,32,True,1
85,Frenchman's Creek,English,True,3,in_language,13,True,1
86,The Beast with Five Fingers,Arthur Levinson,True,2,written_by,9,True,1
87,The Best Man Holiday,Drama,True,1,has_genre,4,True,1
88,Beau Travail,French,True,3,in_language,4,True,2
89,The Biggest Bundle of Them All,Romance,True,1,has_genre,5,True,1
90,R100,Hitoshi Matsumoto,True,10,directed_by,20,True,1
91,Bad Day at Black Rock,German,True,26,in_language,2,True,1
92,The Boy with Green Hair,Neil Young,True,6,directed_by,32,True,2
93,Yojimbo,Ingmar Bergman,True,7,written_by,8,True,1
94,Among Giants,Thriller,True,10,has_genre,6,True,3
95,Keeping Up with the Steins,Comedy,True,3,has_genre,8,True,2
96,Teorema,Ugo Gregoretti,True,2,directed_by,6,True,1
97,Paint Your Wagon,1980,False,0,release_year,4,False,0
98,Monkey Shines,Leslie Nielsen,True,27,starred_actors,33,True,1
99,The Normal Heart,Frank Capra,True,20,written_by,6,True,5
100,Philomena,Andrew Fleming,True,1,written_by,22,True,1
101,Saawariya,Peter Lorre,False,0,starred_actors,38,False,0
102,The Tingler,William Prince,True,4,starred_actors,56,True,2
103,I'm Gonna Git You Sucka,Action,True,2,has_genre,5,True,1
104,The Go-Getter,Romance,True,4,has_genre,5,True,1
105,"Edison, the Man",Joan Crawford,True,9,starred_actors,55,True,2
106,The Public Enemy,Mystery,True,1,has_genre,10,True,1
107,Destroyer,S. Sylvan Simon,True,12,directed_by,31,True,1
108,The Stig-Helmer Story,1991,False,0,release_year,2,False,0
109,Inside Moves,Horror,True,1,has_genre,7,True,1
110,BURN-E,John Lasseter,True,4,written_by,25,True,1
111,Dragonwyck,Gregory Peck,True,3,starred_actors,50,True,2
112,The Descent,Neil Marshall,True,3,written_by,1,True,1
113,Extreme Movie,2010,True,5,release_year,21,True,1
114,Lenny,Joel Hopkins,True,5,directed_by,4,True,2
115,The Black Watch,Ben Johnson,False,0,written_by,3,False,0
116,Close Encounters of the Third Kind,Roger L. Simon,True,7,written_by,33,True,2
117,The Trigger Effect,Al Pacino,False,0,written_by,2,False,0
118,Brave,Action,True,3,has_genre,9,True,2
