q_idx,seed,question_text,correct_answer,detected_relation,n_total_h1,k_eff,first_viable_rank,viable_score,top1_score,score_ratio,category
3,The Devil at 4 O'Clock,who directed the films written by the writer of The Devil at 4 O'Clock,Henry Hathaway,directed_by,7,20,4,0.008353,2.01777,0.0041,in_topk_stage2_fail
53,American Heart,what languages are the films that share actors with American Heart in,English,in_language,4,20,2,0.012159,0.025017,0.486,in_topk_stage2_fail
55,Coriolanus,when did the films release whose directors also directed Coriolanus,2013,release_year,5,20,4,0.000404,6.056703,0.0001,in_topk_stage2_fail
74,A Bright Shining Lie,who wrote films that share actors with the film A Bright Shining Lie,Dan Gilroy,written_by,5,20,3,0.004051,4.18004,0.001,in_topk_stage2_fail
75,Nick of Time,who starred in the films whose directors also directed Nick of Time,David Marshall Grant,starred_actors,10,20,3,0.201955,0.416196,0.4852,in_topk_stage2_fail
81,Ginger Snaps,who is listed as screenwriter of the films starred by Ginger Snaps actors,Ingmar Bergman,written_by,9,20,2,0.000838,12.488183,0.0001,in_topk_stage2_fail
103,Saawariya,who starred movies for the writer of Saawariya,Peter Lorre,starred_actors,10,20,5,0.025081,0.416864,0.0602,in_topk_stage2_fail
156,Sex Drive,who starred in the films whose screenwriters also wrote Sex Drive,Jay Baruchel,starred_actors,14,20,5,0.025079,0.416762,0.0602,in_topk_stage2_fail
202,The Man Who Laughs,the films that share directors with the film The Man Who Laughs were released in which years,1921,release_year,13,20,4,0.000408,6.068155,0.0001,in_topk_stage2_fail
222,The Caiman,which person wrote the movies starred by the actors in The Caiman,Maria Sole Tognazzi,written_by,7,20,2,0.025129,0.200703,0.1252,in_topk_stage2_fail
228,Lord of the Flies,the films that share directors with the film Lord of the Flies were released in which years,1967,release_year,12,20,3,0.000841,6.080797,0.0001,in_topk_stage2_fail
262,India Song,what were the release years of the movies that share actors with the movie India Song,1969,release_year,7,20,3,0.012014,0.419841,0.0286,in_topk_stage2_fail
282,City for Conquest,who starred films for the screenwriter of City for Conquest,Joan Crawford,starred_actors,7,20,3,0.025031,0.417805,0.0599,in_topk_stage2_fail
300,They,the movies that share directors with the movie They are written by who,Eric Red,written_by,8,20,3,0.00406,0.008359,0.4857,in_topk_stage2_fail
306,Wizards,who starred movies for the writer of Wizards,Barry White,starred_actors,5,20,1,0.025153,0.025153,1.0,in_topk_stage2_fail
312,One Tough Cop,who is listed as screenwriter of the movies starred by One Tough Cop actors,E. Max Frye,written_by,10,20,7,0.000405,12.537622,0.0,in_topk_stage2_fail
324,After the Sunset,what are the primary languages in the movies directed by the director of After the Sunset,Greek,in_language,8,20,1,0.025019,0.025019,1.0,in_topk_stage2_fail
325,Newsfront,which person wrote the films acted by the actors in Newsfront,Mick Molloy,written_by,10,20,6,0.025036,0.417128,0.06,in_topk_stage2_fail
378,Tangled,which person wrote the movies starred by the actors in Tangled,Sarah Dessen,written_by,12,20,2,0.01214,0.025005,0.4855,in_topk_stage2_fail
382,Felidae,the films that share actors with the film Felidae are directed by who,Martin Provost,directed_by,7,20,7,0.004023,4.149661,0.001,in_topk_stage2_fail
386,Firestorm,who are the screenwriters that the directors of their movies also directed Firestorm,Robert Rodat,written_by,9,20,1,0.025078,0.025078,1.0,in_topk_stage2_fail
418,Blade Runner,the movies that share directors with the movie Blade Runner were in which languages,Japanese,in_language,29,20,1,0.000848,0.000848,1.0,in_topk_stage2_fail
464,The Beaver,who directed the films written by the writer of The Beaver,Michael Goetz,directed_by,9,20,1,0.012094,0.012094,1.0,in_topk_stage2_fail
477,The Spiral Staircase,who acted in the movies written by the writer of The Spiral Staircase,Barry Sullivan,starred_actors,5,20,1,0.025073,0.025073,1.0,in_topk_stage2_fail
488,China Seas,who is listed as screenwriter of the movies directed by the China Seas director,John Meehan,written_by,11,20,7,0.000832,12.470143,0.0001,in_topk_stage2_fail
